,,Shot Data,Shot Data,Shot Data,Corsi (5v5),Corsi (5v5),Corsi (5v5),Fenwick (5v5),Fenwick (5v5),Fenwick (5v5),Possession Quality,Possession Quality,Possession Quality,Possession Quality,Possession Quality,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances,Scoring Chances
14,Vegas Golden Knights*,8.1,0.923,100.4,3977,4135,49,2806,2861,49.5,174,164.6,176,163,4,1787,1847,49.2,648,654,49.8,64,9,67,9.3
15,New York Islanders*,7.7,0.93,100.7,3910,4313,47.5,2846,3043,48.3,174.4,177.4,166,158,11,1805,1946,48.1,669,686,49.4,65,8.9,60,8
16,St. Louis Blues,7.7,0.927,100.4,3469,4088,45.9,2548,3055,45.5,157.5,183.7,151,167,10,1617,1944,45.4,543,680,44.4,54,9,67,9
17,Washington Capitals*,7.8,0.918,99.6,3640,4067,47.2,2518,2923,46.3,150.1,167.1,143,175,-15,1646,1806,47.7,610,637,48.9,63,9.4,69,9.8
18,Detroit Red Wings,9.2,0.915,100.7,3550,4089,46.5,2534,2983,45.9,150.6,177,177,189,14,1570,1906,45.2,504,668,43,71,12.3,74,10
19,Pittsburgh Penguins,7.9,0.919,99.8,4190,3919,51.7,2998,2918,50.7,184.6,171.3,179,172,-6,1925,1869,50.7,705,623,53.1,71,9.1,73,10.5
20,Minnesota Wild,8.2,0.917,99.9,3710,3662,50.3,2629,2629,50,151.2,149.3,159,163,-6,1656,1577,51.2,541,501,51.9,64,10.6,52,9.4
21,Philadelphia Flyers,7.1,0.905,97.6,4101,3767,52.1,2973,2528,54,177.5,149.8,159,180,-49,1887,1680,52.9,673,589,53.3,66,8.9,70,10.6
22,Buffalo Sabres,8.1,0.92,100.1,3920,3734,51.2,2823,2751,50.6,168,172.8,174,159,20,1794,1867,49,580,698,45.4,57,8.9,63,8.3
23,New Jersey Devils,8.3,0.912,99.5,4032,3633,52.6,2837,2748,50.8,177.2,173.8,177,185,-11,1895,1756,51.9,720,642,52.9,69,8.7,77,10.7
24,Seattle Kraken,7.1,0.928,100,4033,3753,51.8,2763,2796,49.7,155.1,148.1,144,146,-9,1790,1705,51.2,598,583,50.6,46,7.1,52,8.2
25,Calgary Flames,7.7,0.913,99,4122,3851,51.7,2917,2732,51.6,170.3,172.5,167,181,-12,1827,1813,50.2,662,627,51.4,63,8.7,61,8.9
26,Ottawa Senators,7.7,0.909,98.6,3977,3827,51,2836,2705,51.2,166.7,163.9,163,192,-32,1782,1767,50.2,670,634,51.4,75,10.1,66,9.4
27,Arizona Coyotes,8.8,0.92,100.8,3707,3856,49,2636,2878,47.8,160.9,180.1,171,171,19,1763,1817,49.2,618,622,49.8,67,9.8,63,9.2
28,Montreal Canadiens,8.4,0.925,100.9,3581,4159,46.3,2549,2974,46.2,157.6,174.5,160,164,13,1611,1997,44.7,575,716,44.5,73,11.3,59,7.6
29,Columbus Blue Jackets,8.3,0.919,100.2,3993,4281,48.3,2814,3128,47.4,165.1,195.1,175,196,9,1774,2010,46.9,650,729,47.1,72,10,71,8.9
30,Anaheim Ducks,7.1,0.917,98.8,3339,3787,46.9,2418,2787,46.5,142.3,173.3,127,174,-16,1556,1793,46.5,520,632,45.1,52,9.1,78,11
31,Chicago Blackhawks,6.5,0.915,98.1,3384,4257,44.3,2392,3125,43.4,143.8,194,118,202,-34,1483,2074,41.7,503,716,41.3,51,9.2,68,8.7
32,San Jose Sharks,6.6,0.909,97.5,3565,4464,44.4,2490,3267,43.3,135.8,210.9,119,226,-32,1535,2202,41.1,559,751,42.7,44,7.3,82,9.8
